F0,F1,parental.id,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16
E,S,18,-0.001448356,0.002487952,0.00085107,0.002854747,0.005902472,0.003031689,-0.001753364,0.007555021,0.007620678,-0.004247154,0.002501596,-0.002234245,0.000504156,0.000794136,0.004900057,0.010440089
E,S,19,-0.00460904,0.0037616,0.001859271,-0.000363405,-0.00314509,-0.001967309,-0.025998354,0.000551084,-0.018293424,0.005061658,0.009706222,-0.007572939,-0.006173678,-0.015662864,-0.000878212,-0.003297634
E,S,19,-0.008200315,-0.001730968,-0.00641878,0.001801954,0.006309324,0.001051724,0.004636555,0.002955454,0.007076102,0.000760903,0.017456642,0.014329969,0.006556307,0.02271134,0.025074339,-0.00577487
E,S,19,0.013669924,-0.005154003,0.005085908,-0.00203739,-0.001839367,-0.000762215,-0.004878259,-0.010640176,0.006483948,0.002987506,0.016396158,0.000509644,0.005581014,0.009122086,0.01179752,-0.009946068
E,S,19,-0.003697828,0.000407108,-0.006458131,-0.002808589,0.004901565,1.30E-05,0.009091402,0.005682578,0.014472486,-0.002971358,-0.00586961,-0.002958532,0.010049073,0.004429934,-0.00058953,-0.000778702
E,S,19,-0.001118404,0.00032534,0.001799378,-0.000635648,-0.001410029,-0.000989171,0.002794893,-0.004773891,0.000930585,0.001330066,0.000246546,-0.002054692,0.009400988,0.004174769,-0.001449947,-0.005705763
E,S,20,0.001758281,0.006341037,0.007822716,0.00023004,0.000129084,-0.002284686,0.002080618,0.000149597,-0.023561643,0.000687863,0.004430856,0.003023511,0.003123077,-0.009776074,-0.013727717,-0.001686474
E,S,20,0.0033053,0.00368841,0.008285023,-0.002317153,0.000211461,-0.002524636,-0.010966532,-0.002424922,-0.018581458,0.003875246,0.003171184,-0.000483707,-0.001065607,-0.016178765,-0.007600192,0.001517382
E,S,20,0.000801509,0.003282653,0.00723872,-0.003879106,0.001745907,0.006159689,-0.01567343,-0.002353514,-0.019240098,0.003063237,-0.000217722,-0.003438448,0.006386371,-0.035952182,-0.018361511,0.007716352
E,S,20,0.005246646,0.001441214,0.001589421,-0.000232022,-0.005448704,-0.005621616,-0.009769313,-0.001242469,-0.001688871,0.003590977,0.007897909,-0.00779197,0.006016882,0.028119646,-0.004583661,0.006394184
E,S,20,-0.000849708,0.004768311,-0.007830364,0.003461613,0.009370231,1.97E-05,-0.000777325,0.0061146,-0.006181387,-0.003979857,0.003303689,0.009236575,-0.001631669,-0.000405332,-0.002182645,-0.001027853
E,S,21,0.005133992,-0.001763579,0.004393183,0.000432897,-0.004544483,-0.000858845,-0.008567038,0.000415988,-0.003489653,0.000582991,0.005027775,-0.001998984,-0.011261709,0.001859942,-0.001039295,-0.003728756
E,S,21,-0.003440061,0.00110149,-0.007490784,0.003007042,0.011364802,0.001121729,0.007639745,0.004380463,0.008555558,0.002077786,0.002092574,-0.015715486,0.009098737,0.004183066,0.004588131,0.010673981
E,S,21,0.003716095,0.002296507,0.001185599,-0.001538035,0.000680362,-0.000592161,-0.001337015,-0.000461022,-0.018248764,0.001588935,-0.003440108,-0.001714977,-0.007909483,0.004784688,0.006166316,-0.005547407
E,S,21,-0.006740355,0.006280185,0.00884486,0.000848601,0.00184743,0.001476813,0.005426005,0.004200347,0.009728014,0.001503525,-0.009060058,-0.004525159,-0.002843705,-0.024595465,-0.030090882,0.00344349
E,S,21,0.009289445,0.005144499,0.007868302,0.000595626,0.016590066,-0.004922827,-0.010078794,0.006751502,-0.015634573,7.99E-05,0.005648833,0.008773505,0.037305875,0.002238493,0.007858923,0.018490222
E,S,22,0.002568115,0.006525504,0.020469646,0.001078811,0.002555901,-8.95E-05,-0.008544784,0.004672925,-0.005168363,-0.003719468,0.012429129,0.000647082,0.003078677,0.016947418,0.00512941,0.012545695
E,S,22,0.000674993,0.001738529,0.002404109,0.001046761,0.008250487,0.003207767,0.004773721,0.003964362,0.007565287,0.001486013,-0.001032057,-0.008357072,0.007795075,-0.004409472,0.006614038,0.007512536
E,S,22,-0.006828432,0.002141827,0.00106553,0.001391251,0.010167277,-0.001693288,0.004219093,0.001973386,0.009499248,0.002837751,0.003144588,0.004432854,0.009086058,-0.007006801,-0.015094405,0.00195542
E,S,22,0.007923403,-0.000623263,-0.00622417,0.00327947,-0.003147263,0.002874659,0.003264406,-0.00141211,-0.008298262,0.000296362,-0.006778795,0.003315437,0.00891311,-0.011677416,0.002411832,-0.016135782
E,S,22,0.001934048,0.00060161,0.01288328,0.000552544,0.002666881,0.004691195,-0.003019665,-0.001863953,0.005587746,-0.000497052,-0.008412728,0.001741365,0.006878981,-0.009034531,-0.014442544,0.004462345
E,S,23,0.002041813,0.002691941,-0.000671675,-0.000268006,0.002333989,0.000256398,-0.007696002,0.000291832,-0.00995649,0.000669963,0.00580553,0.009547942,-0.009427179,0.010494097,0.016787008,-0.008236798
E,S,23,0.006453156,0.0002692,0.014708768,0.003310154,0.004035801,-0.000857555,-0.013035218,-8.78E-05,-0.00063183,-0.000919369,0.016726938,-0.000582523,0.01358193,-0.00816323,-0.007740836,0.019734915
E,S,23,0.004150986,0.001222214,0.001534948,0.00200968,0.001556892,-0.001101766,0.006505893,0.001883699,-0.006383184,-0.001285746,0.005553682,0.0143868,-0.022150845,0.023621787,0.022449462,-0.015361897
E,S,23,0.006896612,-0.000514397,0.00396902,-0.001327744,0.002020279,-0.001825532,0.001236144,-0.003357612,-0.009090052,0.001316828,-0.002122985,-0.00694844,-1.07E-06,-0.005858296,0.005120653,-0.000562811
E,S,23,0.00837744,0.002038511,0.004844865,0.002331493,0.008374638,0.001295458,0.007283665,0.007155658,-0.002476994,0.001406018,-0.006070619,-0.004594116,0.005506591,-0.007577352,0.00179221,0.006997051
E,S,24,-0.003419778,0.008797174,0.008427954,-0.001592249,0.00289887,0.000442592,0.008889725,0.001977659,-0.004620398,-0.000899177,-0.00643376,0.002958465,-0.014071206,0.002092217,-0.003687471,-0.004895621
E,S,24,0.003054205,0.005178869,1.05E-05,-0.002455333,0.002882775,0.000903751,-0.00409893,0.009002265,-0.017739209,0.006243174,0.008583168,-0.004123754,0.004504517,0.000690538,0.003690614,0.007024334
E,S,24,-0.001388744,0.004588326,0.024543053,-0.00185761,0.013116285,0.002631048,0.034283367,0.008710065,0.015608966,0.002375294,-0.000330815,-0.008840313,-0.002547481,0.01229802,-0.002394536,0.018392134
E,S,24,0.016349168,-0.007041604,0.010771219,-0.002953722,0.010823174,-0.000527259,0.010415202,0.001148394,-0.000923075,0.004865033,0.007294042,-0.003775111,-0.001355055,-0.000939785,0.022814694,-0.000797714
E,S,24,4.44E-05,0.007054683,0.012463467,5.47E-05,0.00027506,-0.002414602,-0.000465352,-0.003346239,-0.016613742,-0.00011398,0.004514619,-0.000959947,0.011503048,-0.009679449,-0.013450588,0.004262055
E,E,25,-0.001297259,0.004698861,0.000160095,-0.001000824,0.000630435,-0.002867264,-0.00334829,0.001807264,0.010543348,-0.000168852,0.00207722,0.003347561,0.005291286,0.006531845,0.001494971,-0.006961214
E,E,25,-0.004432569,-0.006101751,-0.015514822,-0.001271559,-0.007632277,-0.00117848,-0.011987663,-0.004006498,-0.004543458,8.84E-05,-0.003304696,-0.002217955,-0.009033424,0.004869564,0.011944757,-0.012799005
E,E,25,-0.00662383,-0.009410328,-0.02359,0.000538741,-0.003654261,-0.00182501,-0.004987408,-0.00705354,0.015708034,-0.004433231,-0.004583932,0.002989664,0.016025445,-0.002675733,0.012544672,-0.007071888
E,E,25,-0.002990034,-0.010099518,-0.003817484,9.13E-05,-0.006749028,-0.001541179,-0.018835723,-0.013281014,0.027103959,-0.00462761,-0.000425143,0.005240857,0.020359445,-0.002963435,0.006333464,0.00735557
E,E,25,0.005676169,0.001688244,0.009131997,-0.001829593,-0.000597236,0.006005853,0.001115871,-0.001520939,0.000859307,0.001761317,-0.009175801,0.002713752,0.006731092,-0.040430104,-0.026113554,-0.003431588
E,E,26,0.001178584,-0.018916303,-0.027916544,-0.001622046,-0.022562481,0.010642663,-0.011922866,-0.019766723,0.02185086,0.000742912,-0.00222768,0.000890552,0.025117563,-0.023003058,0.018482937,-0.00485542
E,E,26,-0.000874388,-0.015518295,-0.029869531,0.001170799,-0.020383154,0.004613891,-0.009701084,-0.014695621,0.026496813,0.002627405,-0.010669736,-0.003041616,0.02414502,-0.01777086,0.011888147,0.002393561
E,E,26,0.002980345,0.00042732,-0.003570689,0.000842194,-0.00135768,0.002467676,-0.001491523,0.007444934,0.012839487,0.001706105,0.002166946,0.006436698,-0.001715956,0.003832562,-0.002989483,0.009667592
